outside_spending_group,fec_code,candidate_benefitting,cand_fec_code,cand_party,race,group_type,source
Alaska's Energy / America's Values,C00552414,Dan Sullivan,S4AK00214,R,AK-Sen,Super PAC,http://go.bloomberg.com/political-capital/2013-12-02/another-super-pac-in-alaska-u-s-senate-race/
Put Alaska First,C00544346,Mark Begich,S8AK00090,D,AK-Sen,Super PAC,http://thehill.com/blogs/ballot-box/senate-races/318765-pro-begich-group-off-to-slow-start
Freedom's Frontier,C00547992,Mead Treadwell,S4AK00206,R,AK-Sen,Super PAC,http://www.alaskadispatch.com/article/20130731/alaskas-treadwell-gets-super-pac-2014-senate-bid
Arkansas Horizon,C00547497,Tom Cotton ,S4AR00103,R,AR-Sen,Super PAC,http://www.publicintegrity.org/2013/08/02/13123/new-super-pac-arkansas-horizon
Values are Vital,C00552422,Paige Kreegel (likely),n/a,R,FL-19,Super PAC,http://www.tampabay.com/blogs/the-buzz-florida-politics/super-pac-forms-to-boost-paige-kreegel-as-possible-opponent-to-trey-radel/2159251
Kentuckians for Strong Leadership,C00543256,Mitch McConnell ,S2KY00012,R,KY-Sen,Super PAC,http://thehill.com/blogs/ballot-box/senate-races/189545-pro-mcconnell-group-blasts-dem-opponent-for-hollywood-ties
Kentucky Opportunity Coalition,n/a,Mitch McConnell ,S2KY00012,R,KY-Sen,501(c),http://www.politico.com/story/2013/09/mitch-mcconnell-obamacare-96966.html
Citizens for Concerned Leadership,n/a,Bill Cassidy,S4LA00107,R,LA-Sen,Unknown,Email correspondence with Nick Confessore
The Fund for Louisiana's Future,C00541037,David Vitter ,S4LA00057,R,LA-Sen (2016),Super PAC,http://www.nola.com/politics/index.ssf/2013/12/super_pac_backing_sen_vitter_s.html
Committee for a Better Massachusetts,C00542803,Gabriel Gomez,S4MA00184,R,MA-Sen,Super PAC,http://www.boston.com/politicalintelligence/2013/04/10/super-pac-air-pro-gomez-senate-race/tGmlHNDUihVQStSDIeEgQL/story.html
Grow NC Strong,C00545152,Thom Tillis ,S4NC00162,R,NC-Sen,Super PAC,http://www.publicintegrity.org/2013/05/28/12726/super-pac-tout-north-carolina-house-speaker
American LeadHERship,C00546598,Gina Raimondo,n/a,D,RI-Gov,Super PAC,http://ripr.org/post/emailed-video-raimondo-announces-campaign-governor
West Main Street Values PAC,C00543157,Lindsey Graham ,S0SC00149,R,SC-Sen,Super PAC,http://www.bloomberg.com/news/2013-08-27/graham-draws-republican-foes-as-paul-is-neutral-in-race.html
West Main Street Values Fund Inc,n/a,Lindsey Graham ,S0SC00149,R,SC-Sen,501(c),http://www.huffingtonpost.com/2014/01/11/dark-money-senate_n_4571593.html
South Carolina Conservative Action Alliance,n/a,Lindsey Graham ,S0SC00149,R,SC-Sen,501(c),http://www.huffingtonpost.com/2014/01/11/dark-money-senate_n_4571593.html
Texans for a Conservative Majority,C00542217,John Cornyn,S2TX00106,R,TX-Sen,Super PAC,http://www.nytimes.com/2013/12/24/us/politics/upstart-groups-challenge-rove-for-gop-cash.html?pagewanted=1&_r=0
Ready for Hillary,C00540997,Hillary Clinton ,n/a,D,US-Pres,Super PAC,http://www.nytimes.com/2013/11/12/us/politics/super-pac-gets-an-early-start-on-pushing-for-a-2016-clinton-campaign.html?pagewanted=all
Mountain State Values Fund,n/a,Unknown,n/a,U,WV-Sen,Unknown,Email correspondence with Nick Confessore
Cowboy PAC,C00550533,Liz Cheney,S4WY00089,R,WY-Sen,Super PAC,http://www.nytimes.com/2013/12/04/us/politics/super-pac-to-raise-money-for-liz-cheneys-senate-bid.html
Wyoming's Own,C00549105,Mike Enzi,S6WY00126,R,WY-Sen,Super PAC,http://talkingpointsmemo.com/livewire/enzi-supporters-form-new-superpac-wyoming-s-own
Wolfheel PAC,C00554634,Kay Hagan,S8NC00239,D,NC-Sen,Super PAC,http://go.bloomberg.com/political-capital/2014-01-16/north-carolina-hagan-gets-super-pac-help/
Delta Diamond PAC,C00552653,Mark Pryor,S0AR00028,D,AR-Sen,Super PAC,http://go.bloomberg.com/political-capital/2014-01-16/north-carolina-hagan-gets-super-pac-help/
Blue Pelican PAC,C00543496,Mary Landrieu,S6LA00227,D,LA-Sen,Super PAC,http://go.bloomberg.com/political-capital/2014-01-16/north-carolina-hagan-gets-super-pac-help/
Keep Louisiana Working,n/a,Unknown,n/a,R,LA-Sen,501(c),http://www.huffingtonpost.com/2014/01/11/dark-money-senate_n_4571593.html
North Carolina House Legislative Partners,n/a,Unknown,S4NC00162,R,NC-Sen,501(c),http://www.huffingtonpost.com/2014/01/11/dark-money-senate_n_4571593.html
